title	description	topic	signum
Gen Z's financial icons revealed: Taylor Swift beats Warren Buffett, and Bill Gates tops the list	Bill Gates, Beyoncé, and Oprah Winfrey made the list of people who embody financial success for Gen Z, according to a new survey of college students.		
These 34 Beauty Products Are So Amazing A Wizard Must’ve Cast A Spell On Each Of Them	You won't even need a fairy godmother to give you a ~magical~ makeover because these products have you covered.View Entire Post ›		
Travis Kelce's New Business Venture Isn't a Touchdown With Chiefs Fans	Think Travis Kelce has the Midas touch? Well, one of his newer endeavors isn't receiving the greatest reception online.		
Taylor Swift and Brittany Mahomes had dinner in NYC with Selena Gomez instead of going to Germany and we get it	Swift didn't make the trip to Europe with the next international leg of The Eras Tour starting soon.		
A muted box office weekend without ‘Dune: Part Two’	Universal and Blumhouse's video game adaptation “Five Nights at Freddy's” topped the North American box office in its second weekend according to studio estimates Sunday, while “Taylor Swift: The Eras Tour” placed second		
Chiefs' wild fumble-return sequence leads to improbable touchdown vs Dolphins	A wild fumble return helped the Kansas City Chiefs take a comfortable lead into halftime against the Miami Dolphins in Germany on Sunday.		
Referee for Dolphins-Chiefs in Frankfurt announced a penalty in German and the home crowd loved it	Referee Clay Martin was well prepared for this moment.		
Taylor Swift, Selena Gomez, Brittany Mahomes spotted in NYC ahead of Travis Kelce's game in Germany	Taylor Swift, Selena Gomez, Sophie Turner and Gigi Hadid were spotted with Brittany Mahomes outside a New York City restaurant Saturday.		
Aaron Rodgers' Social Media Has Old Teammate Thinking About Early Return	When could Aaron Rodgers take the field for the New York Jets? A social media post may have highlighted a specific date.		
Taylor Swift supports Travis Kelce with rare social media move	Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.		
Taylor Swift’s latest master stroke is a blockbuster re-recording of her breakthrough pop album—and it could reshape the music industry as we know it	"The newest version of ""1989 TV,"" released at the end of October, sold 1.65 million copies in its first week. ""It's a career-defining moment."""		
Taylor Swift reporter hired at Gannett after viral job listing | CNN	Consider journalist Bryan West the “lucky one,” because he’s The Tennessean and USA Today network’s new Taylor Swift Reporter.		
Jason Kelce Got Drug Test From NFL After Big Birthday Win	The Philadelphia Eagles center also had a viral altercation with Dallas Cowboys linebacker Damone Clark on a busy Sunday.		
Taylor Swift reportedly hosted wives of Travis Kelce's teammates at a Chiefs watch party	Wives of Travis Kelce's teammates were seen leaving Swift's Tribeca home on Sunday.		
Taylor Swift Went Out With A Large Group Of Famous Girlfriends, And It's Just Looking Worse And Worse For Joe Jonas	I imagine them doing some sort of Hocus Pocus hexing spell while eating the biggest ball of burrata you've ever seen.View Entire Post ›		
Giants' Daniel Jones suffers torn ACL, season likely over for star QB	New York Giants quarterback Daniel Jones will miss the rest of the season as Brian Daboll announced he tore his ACL in Sunday's game against the Las Vegas Raiders.		
Taylor Swift adds Brittany Mahomes to her squad | CNN	Taylor Swift adds Brittany Mahomes to her squad | CNNcnn.com		
Brittany Mahomes shared a glimpse of what it was like to hang out with Taylor Swift in NYC	Swift spent time with the spouses of three Chiefs' players this past weekend.		
Taylor Swift Calls on Fans to Hit the Polls Ahead of Major Elections in Several States	Pop star Taylor Swift, the jet-setting climate change activist who endorses Democrats, attacks Republicans, and performs for Communist human rights abusing-China’s Singles Day, took to social media on Tuesday to encourage her fans in certain states to vote on…		
5 wildest NFL betting moments (so far) this season, including Patrick Mahomes' slide	There have been plenty of bad beats so far this NFL season.		
A 35-year-old ‘huge Swiftie’ beat out a White House reporter and a legion of bloggers to get the most coveted job in journalism	It’s “no different than being a sports journalist who’s a fan of the home team,” said Bryan West, the new Taylor Swift reporter for USA Today.		
Report: Taylor Swift hosted watch party for Chiefs significant others Sunday	Taylor Swift reportedly hosted a watch party to root on rumored boyfriend Travis Kelce as the Chiefs took on the Dolphins in Germany last Sunday.		
Taylor Swift & Brittany Mahomes party before Chiefs game, King Charles' reported control over Harry & Meghan	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Voters to decide KY governor, OH abortion rights and VA legislative control... Developing...	"Voters to decide KY governor, OH abortion rights and VA legislative control... Developing...

 
 
 
 (First column, 1st story, link)

 

 

 
 Related stories:Dems seek upset in MS gov race...
Youngkin's Presidential Ambitions Face Test..."		
Concert movies are the future of pop music fandom	Taylor Swift, BTS, and Beyoncé’s concert movies level the field for fans. Once considered secondary to live shows, filmed concerts are now essential to fandom.		
Rob Schneider Under Fire Over Travis Kelce Comment	"""Not true just more lies,"" one person wrote, while another added: ""Not sure Travis knows who Rob even is."""		
Does Taylor Swift really swing betting odds when she's at Chiefs games?	As absurd as the premise sounds that the mere presence of a songstress love interest could appeal to the oddsmakers' soft side, there is at least a statistical starting point for a discussion.		
USA Today hires a Taylor Swift reporter. Who is he?	Gannett, the biggest newspaper chain in the U.S., no longer has a blank space under the title of “Taylor Swift reporter.”		
Movie Review: Nicolas Cage finds fame to be highly overrated in chillingly funny ‘Dream Scenario’	Nicolas Cage, perhaps best known for his onscreen volatility, takes a fascinating swerve to play a mundane, schlubby, balding professor at nowhere famous in Kristoffer Borgli's “Dream Scenario.”		
Taylor Swift Promoted Left-Wing Voter Registration Organization While Remaining Silent on Hamas' Massacre of Israelis	Mega pop star Taylor Swift used her massive social media following to promote a left-wing voter registration organization on election day. But the singer continues to remain silent on Hamas' massacre of Israelis more than a month after the October 7 slaughter.		
Travis Kelce Might Go 'Closer to the Equator' During Chiefs Bye Week	"On his podcast, the Kansas City Chiefs star told his brother Jason that he plans to go ""somewhere sunny"" during his week off."		
Taylor Swift's Argentina concert takes political turn as presidential election nears	Politics was suddenly a topic of conversation as thousands of Taylor Swift fans eagerly lined up for the superstar’s first-ever concert in Argentina		
Taylor Swift's Argentina concert takes political turn as presidential election nears	Politics was suddenly a topic of conversation as thousands of Taylor Swift fans eagerly lined up for the superstar’s first-ever concert in Argentina		
How to watch or stream Thursday Night Football’s Week 10 during the 2023 NFL season live online free without cable	Here's how to watch Thursday Night Football during the 2023 NFL season online for free—even without a cable subscription.		
Mom told to remove decorations from son's gravesite — plus Taylor Swift 'swear jar' goes viral	The Fox News Lifestyle Newsletter brings you trending stories on family, travel, food, neighbors helping neighbors, pets, autos, military veterans, heroes, faith and American values.		
An expensing firm CFO just revealed how remote work changes employee perks	For proof, take a look at the $21,000 VIP dinner, $350 haircut, and Taylor Swift concert tickets that workers got reimbursed last year.		
NC State football perfectly invoked Taylor Swift for Payton Wilson's postseason awards campaign	This is a winning combo.		
Far-right hosts are blaming the GOP's big election losses on Taylor Swift	Right-wing activist Jack Posobiec and commentator Charlie Kirk both blamed Taylor Swift's political power for electoral losses.		
Tumblr is reportedly on life support as its latest owner reassigns staff	"""600+ person-years of effort"" have not stopped the site from losing $30M a year."		
Dry Swifties or Wet Swifties? This Buenos Aires weather report (Taylor's version) is too funny	The buzz is high in Argentina with the Eras Tour starting back up.		
What to Watch Out For on the Next Leg of Taylor Swift’s Eras Tour	The singer has finished the first U.S. leg of her historically popular Eras Tour and is headed to South America.		
Travis Kelce Reportedly Will Travel to Argentina to Visit Taylor Swift	The Kansas City Chiefs star will use the team's bye week to visit Swift during the international leg of her Eras Tour.		
Taylor Swift postpones Argentina concert after Travis Kelce arrives	"Taylor Swift canceled the Nov. 10 concert of the international leg of ""The Eras Tour"" due to ""chaotic"" weather. Her rumored boyfriend, Travis Kelce, just arrived in the country."		
Argentina Socialists Weaponize Taylor Swift Against Conservative Presidential Frontrunner	Leftist fans of Taylor Swift in Argentina launched a campaign urging fellow Swifties not to vote for libertarian economist Javier Milei.		
"SZA leads Grammy nominations, up for ""Album of the Year"" with Miley Cyrus, Taylor Swift and Janelle Monáe"	"The 66th Grammy Awards nominations have been announced and SZA tops the list with nods in nine categories. Joe Levy, a contributor editor for ""Rolling Stone,"" joins CBS News with a look at the artists nominated."		
Biden Gets Bad Economic News as Polls Spell Disaster	Consumers expect inflation to be high in 2024 just as President Joe Biden will be seeking re-election.		
Taylor Swift reschedules ‘Eras Tour’ performance	Taylor Swift reschedules ‘Eras Tour’ performancecnn.com		
AMC Theatres posts best revenue and attendance since pandemic began as it closes money-losing locations and rakes in cash from 'Barbenheimer' bonanza	The mega movie theater chain has closed 156 locations since the start of the pandemic.		
Taylor Swift cancels Friday night show in Buenos Aires after Travis Kelce arrives in Argentina	Taylor Swift called off her Friday night Eras Tour show in Buenos Aires due to intense rain even after Travis Kelce showed up to watch her perform.		
Taylor Swift fans swoon over Travis Kelce’s hours-long red-eye flight to be at the Eras Tour in Argentina	Travis Kelce took an overnight flight some 5,600 miles across the globe to be there for Taylor Swift!		
2024 Grammy nomination snubs and surprises: No K-pop, little country and regional Mexican music	With new categories, “Barbie” and SZA — there’s a lot to discuss regarding the 2024 Grammy Award nominations		
Classes on celebrities like Taylor Swift and Rick Ross are engaging a new generation of law students	A South Dakota law professor who typically teaches torts and natural resources is turning his attention to Taylor Swift next semester		
Classes on celebrities like Taylor Swift and Rick Ross are engaging a new generation of law students	A South Dakota law professor who typically teaches torts and natural resources is turning his attention to Taylor Swift next semester		
Insider Today: Financial freedom's reality	Two people who consider themselves financially free shared a glimpse of what their lives are like — and it's actually a lot of work.		
Young Taylor Swift fans go viral for struggling to open the star's CD: 'Making me laugh'	Three Taylor Swift fans, ages 11 and 12, go viral after a video of their struggles to open a CD grab over 2.7 million views — and even Swift herself responded.		
Cornwall unveils winter housing plan in shadow of encampment resident's death	An eastern Ontario city's plan to house homeless people this winter is being met with a mix of relief and regret, coming less than a week after a homeless woman died in a local encampment.		
Roles reversed: Kelce uses bye week to attend Swift's performance	After weeks of Taylor Swift making headlines for attending Chiefs games, it was Travis Kelce's turn to garner attention with his appearance in Buenos Aires.		
'The Marvels' has MCU's worst box office opening ever	'The Marvels' went lower, nearer, and slower with MCU's worst box office opening ever, grossing $47 million.		
‘The Marvels’ struggles at box office amid superhero fatigue: ‘The growth of the genre has stopped’	The 33rd installment in the Marvel Cinematic Universe managed less than a third of the $153.4 million its predecessor launched with.		
House may consider Mayorkas impeachment this week	The House may consider a resolution this week that aims to impeach Homeland Security Secretary Alejandro Mayorkas after a push by Rep. Marjorie Taylor Greene (R-Ga.) to do so, according to the chamber’s schedule of measures it plans to consider. The Mayorkas …		
WATCH: Taylor Swift and Travis Kelce share a kiss after her Buenos Aires concert	Video shows the singer and Chiefs’ tight end embracing each other after her show.		
10 of Taylor Swift and Travis Kelce's most heartwarming moments from The Eras Tour in Argentina	Taylor Swift and Travis Kelce had the absolute best time Saturday night.		
Taylor Swift changes 'Karma' lyric for Travis Kelce at Eras concert	Taylor Swift shouted out Travis Kelce in a 'Karma' lyric change at a show in Argentina: 'Karma is the guy on the Chiefs, coming straight home to me.'		
Travis Kelce Saw Taylor Swift Perform in Argentina. Here's What Happened	Kelce was spotted at Swift's Eras Tour show in Argentina on Saturday, with the pop star having a surprise in store for her guest.		
Travis Kelce reacts to Taylor Swift changing 'Karma' lyrics to reference the Chiefs	Kansas City Chiefs tight end Travis Kelce appeared just as surprised as concertgoers when he received an onstage shoutout from Taylor Swift during her Eras Tour show in Argentina.		
The Marvels Wins the Box Office But Has the Worst MCU Opening Weekend of All Time	While The Marvels may have won the domestic weekend box office, it also had the worst MCU opening of all time with ticket sales of $47.0 million.		
Taylor Swift changes lyrics to ‘Karma’ in nod to ‘guy on the Chiefs’ Travis Kelce | CNN	Taylor Swift winked at her romance with Kansas City Chiefs’ tight end Travis Kelce during her “Eras Tour” concert in Buenos Aires, Argentina on Saturday when she changed the lyrics to a line in her hit song “Karma,” and Kelce was in the audience to catch it.		
Taylor Swift's dad (an Eagles fan!) wore a Chiefs lanyard while with Travis Kelce at the Eras Tour	Taylor Swift fans loved this. Eagles fans? Not so much.		
Patrick Mahomes Joining ESPN's ManningCast After Failed 'Audition' For Show	The Kansas City Chiefs quarterback was featured in an Omaha Productions skit with Peyton and Eli Manning over the summer.		
US professors use pop culture icons like Taylor Swift and Rick Ross to make law school more engaging	Law professors across the U.S. are incorporating pop culture icons like Taylor Swift and Rick Ross into their courses in an effort to engage students.		
The Taylor Swift bowl, Victor Wembanyama vs. Chet Holmgren and more on this week's betting calendar	NFL Week 11 features a rematch of Super Bowl 57 between the Eagles and Chiefs.		
"Taylor Swift Expressed Her Discomfort With Fans Throwing Stuff Onstage: ""It Really Freaks Me Out"""	Everyone needs to chill.View Entire Post ›		
Taylor Swift fans think her grateful message to Buenos Aires used one of Travis Kelce's favorite phrases	Maybe Taylor Swift already has the word “electric” in her vocabulary — heck, she has a song called Electric Touch! — to describe the die-hard crowds during the Eras Tour, bu…		
NFL Finally Dumps Taylor Swift from Social Media, Replaces Her with Vikings' Josh Dobbs	After a 42-day run, the NFL has finally removed images and tributes to pop star Taylor Swift as the features on its social media accounts.		
Josh Dobbs Isn't a Just Viral Story, He's a Valuable Lesson for Sports Fans	While the Vikings quarterback has become the talk of the NFL over the past couple of weeks, he's more than just a feel-good story.		
Brutal Travis and Jason Kelce Comparison Goes Viral	"Jason Kelce was a finalist for People Magazine's ""Sexiest Man of the Year"" 2023, while brother Travis Kelce didn't make list."		
Taylor Swift concert postponement prompts airline to waive change fee | CNN	LATAM Airlines waived its change fees for customers who wanted to extend their stay in Buenos Aires, Argentina, after Taylor Swift postponed her concert there.		
Travis Kelce, Taylor Swift budding relationship draws wholesome remark from Andy Reid	Kansas City Chiefs head coach Andy Reid remarked on Travis Kelce's relationship with Taylor Swift as he spent his bye week in Argentina to see the pop star.		
Chiefs' Travis Kelce joins Jason Kelce on 'A Philly Special Christmas' single	"Travis Kelce joined his brother, Jason, to sing a holiday song for the second edition of the album ""A Philly Special Christmas."""		
Will Taylor Swift fans send the Travis and Jason Kelce holiday song to No. 1?	That's right, the Kelce brothers have a holiday song coming out!		
Google sues people who “weaponized” DMCA to remove rivals’ search results	Google says DMCA fraudsters filed copyright takedown notices for 600,000+ URLs.		
Why football in Premier League and Europe is anything but a fair fight	It's not surprising that big teams with lots of resources and money might win more trophies -- just look at Man City's dominance in recent seasons -- but what might surprise you is the sheer scale of this inequality.		
Andy Reid Says Opposing Coaches Don't Call Him About Taylor Swift	"The Kansas City Chiefs coach said he is happy that star tight end Travis Kelce has ""found somebody he likes."""		
Jason Kelce Came Into Her Hot Dog Restaurant and 'Tried To Roast the Queen'	The Eagles center made a good impression on employees at Wiener's Circle, including resident trash-talker Poochie Rollins.		
'A noisy rock 'n' roll': How growing interest in Formula One is felt across the music world	Beyond the engineering, the athleticism, the speed, the luxury, fans love the sound of Formula One		
'A noisy rock 'n' roll': How growing interest in Formula One is felt across the music world	Beyond the engineering, the athleticism, the speed, the luxury, fans love the sound of Formula One		
Gigi Hadid Breaks Silence on Taylor Swift's Romance With Travis Kelce	Gigi Hadid has denied she doesn't approve of Taylor Swift's relationship with football star Travis Kelce moving so fast.		
Taylor Swift surprises Travis Kelce at concert, pleads with fans to stop throwing things on stage	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Patrick Mahomes says he’s worn the same pair of underwear every game since his first NFL season	Travis Kelce spent the Kansas City Chiefs’ bye week carousing through South America with Taylor Swift.		
Travis Kelce’s old tweets are resurfacing online, and some Swifties are here for it	Taylor Swift and Travis Kelce's viral public relationship has captivated the internet. Now, so have some of Kelce’s old tweets.		
Patriots legend Rob Gronkowski says Mac Jones should ask for release now: 'He's not respected'	Mac Jones' tenure with the New England Patriots has hit rock bottom at 2-8 in his third season, and legend Rob Gronkowski believes he should ask for his release now.		
Donna Kelce discusses seeing The Eras Tour movie and whether Taylor Swift will be there for Chiefs - Eagles	"Momma Kelce said the film adaptation of the popular tour was ""amazing."""		
Report: Travis Kelce, Taylor Swift's Parents Expected to Meet at Eagles vs. Chiefs	Travis Kelce and Taylor Swift appear to be taking the next step in their relationship. The parents of the Chiefs tight end and world-renowned…		
Olive Garden chimes in on an old Travis Kelce tweet with a fun Taylor Swift lyric change	Let's head down to the ole Garden and get some breadsticks and listen to Taylor Swift.		
Fans speculate Travis Kelce keeps texting Taylor Swift during episodes of New Heights podcast	Honestly, if we could text Taylor Swift, we'd be doing it all the time, too.		
Travis Kelce's Old Tweets Are Going Viral, And It's Making Everyone Like Him 1,000 Times More	This is the next-level himbo Ken energy, and I love it.View Entire Post ›		
Travis Kelce says Taylor Swift's lyric change at Argentina concert 'shocked' him	"Taylor Swift referenced Travis Kelce in a song and embraced the Chiefs star during her ""Eras Tour"" international concert series."		
Travis Kelce's astonishingly philosophical tweet from 2012 had Taylor Swift fans making so many jokes	When you take your first philosophy class ...		
'Kelce' becomes a top trending dog name in America, pet company's data shows	"Recent data from Rover has shown that a top trending dog name in America right now is ""Kelce,"" amid coverage of the Kansas City Chiefs player and girlfriend Taylor Swift."		
Eagles' Kelce: 'I don't buy into' revenge games	Eagles center Jason Kelce said he does not buy into revenge games ahead of Monday night's showdown against the Kansas City Chiefs, who beat the Eagles 38-35 in last year's Super Bowl.		
Travis Kelce's Old Tweets Reposted by Taylor Swift Fans Ahead of Eagles vs. Chiefs	Taylor Swift fans are a passionate, unique bunch. Swifties have been digging into the old tweets of Travis Kelce, Swift's current beau, to the point that many…		
'It's refreshing': Wall Street analysts show they're Taylor Swift superfans too by riffing on her songs in their usually wonky research notes	Analysts are giving a nod to Swift’s reign at the pinnacle of pop culture by referencing her lyrics in their financial research.		
Travis Kelce Now Has a No. 1 Song to His Name	Think Taylor Swift is the only one with musical talent? Travis Kelce appeared on a song, and it's performing rather well.		
Michigan's Jim Harbaugh agrees to serve 3-game ban, Big Ten drops sign-stealing investigation	Michigan coach Jim Harbaugh agreed to serve a 3-game suspension over the school's sign-stealing scandal and the Big Ten has dropped its investigaton.		
Philadelphia Radio Station Won't Play Taylor Swift Songs Ahead of Eagles vs. Chiefs	While pop superstar Taylor Swift is a native of Pennsylvania and grew up a Philadelphia Eagles fan, her allegiance to Kansas City Chiefs star tight end Travis…		
Brazil's Christ the Redeemer statue welcomes Taylor Swift with unique display	Taylor Swift and the Eras Tour will receive a special welcome to Rio de Janeiro on Thursday night with a projection on the city's iconic Christ the Redeemer.		
Travis Kelce's old tweets unearthed; Taco Bell, Olive Garden, Chipotle respond	Taylor Swift fans have resurfaced old Travis Kelce tweets amid reports that the duo's parents will meet at the Chiefs-Eagles game.		
Joy Behar doesn’t want Taylor Swift stuck with ‘idiot’ Travis Kelce	'The View' host Joy Behar doesn't want Taylor Swift to be 'stuck with this idiot' Travis Kelce after several of his posts making disparaging comments about women resurfaced online: 'He’s illiterate.'		
How to watch tonight's Cincinnati Bengals vs. Baltimore Ravens game on TNF: Livestream options, kickoff time	Here's how to watch Lamar Jackson and the Baltimore Ravens face Joe Burrow and the Cincinnati Bengals on TNF.		
Travis Kelce's Unintentionally Hilarious Unearthed Tweets Have Officially Become A Meme	He's all of us.View Entire Post ›		
The 5 most watchable NFL games for Week 11 2023, ranked	Here are the best games to watch in Week 11.		
Taylor Swift fans think Eras Tour bracelets lit up with Chiefs colors during her End Game performance	Big reputations and now gold and red bracelets!		
VIDEO — 'Precious': Donald Trump Visits His Granddaughter at School	Former President Donald Trump visited his granddaughter, Carolina, at school, and the little girl showed her grandpa her desk.		
Taylor Swift fans used record amounts of data during the Eras Tour in North America	A staggering 29 terabytes of glitter moved through AT&T’s network during her stop in Arlington, Texas, and Swifties set data usage records almost everywhere else.		
Philly radio station 'punts' Swift from weekend playlist ahead of Chiefs-Eagles	Taylor Swift grew up an Eagles fan, but her relationship with Chiefs tight end Travis Kelce is causing one Philadelphia radio station to take no chances.		
KELCE?! The Surprising Most Popular New Pet Names in American Study	The report shows that U.S. pet owners have quite the sense of humor.		
The 23 most delightfully goofy Travis Kelce tweets unearthed by Taylor Swift fans	These are all so wholesome.		
3 ways to increase your privacy and save money when booking travel	"Kurt ""CyberGuy"" Knutsson takes on protecting privacy and saving money while booking travel plans through the use of creating an email alias."		
Travis Kelce apologizes to Taylor Swift’s dad | CNN	Remember when Travis Kelce said he was going to stick to talking about football and not his private life? Good thing for the Swifties it looks like he didn’t mean it.		
NHTSA misses deadline on potentially life-saving new rules for vehicle seats	The National Highway Traffic Safety Administration was supposed to propose new vehicle safety regulations by Nov. 15.		
Celebrities Who Refuse to Perform in Israel	Roger Waters of Pink Floyd has been a prominent critic of Israel but other musicians have also turned down the chance to play in the country, albeit less vocally.		
Drew Barrymore doesn't want plastic surgery: 'I worry I'd continue to chase it'	"Drew Barrymore says that she's never had plastic surgery and doesn't picture herself getting any, saying her ""highly addictive personality"" might cause her to go overboard."		
Rooms, an interactive 3D space designer and ‘cozy game,’ arrives on the App Store	Cozy game, interior decorating app, learn-to-code primer, or something in between, the interactive, 3D spaces builder known as Rooms has made its way to the App Store. The startup, which earlier raised $10 million in seed funding led by a16z, offers a way to …		
Eagles' Jason Kelce on Chiefs Matchup: 'I Don't Buy into Super Bowl Revenge Games'	While most of the coverage for the upcoming Monday Night Football game between the Philadelphia Eagles and Kansas City Chiefs is describing it as a rematch of…		
Taylor Swift 'overwhelmed by grief,' postpones Rio show after fan dies during Eras Tour concert	Taylor Swift postponed an Eras Tour concert in Rio de Janeiro Saturday after a 23-year-old fan died during her Friday night show, according to a message posted on the singer's Instagram.		
2023 College Football, NFL odds: Best bets for Washington-Oregon State, Eagles-Chiefs	Sammy P took a look at the weekend football slate to serve up his best bets. Read to see who he likes in the Kansas State-Kansas matchup and which Pac-12 contest he's betting to go Over.		
Taylor Swift postpones Eras Tour concert in Rio de Janeiro due to heat	Taylor Swift announced that her concert scheduled for Saturday in Rio de Janeiro, Brazil has been postponed due to high temperatures.		
Taylor Swift postpones Rio show after a fan's death during her Friday night concert	Taylor Swift postpones Rio show after a fan's death during her Friday night concert		
Taylor Swift postpones Brazil concert due to 'extreme temperatures'	"Taylor Swift announced that her Saturday night Eras concert in Rio de Janeiro has been postponed due to ""extreme temperatures."""		
Taylor Swift postpones Rio show after a fan's death during her Friday night concert	Taylor Swift postpones Rio show after a fan's death during her Friday night concert		
Taylor Swift postpones Rio show after a fan's death during her Friday night concert	Taylor Swift postpones Rio show after a fan's death during her Friday night concert		
Taylor Swift fan dies before 'The Eras Tour' concert in Rio de Janeiro, Brazil	Taylor Swift fan dies before 'The Eras Tour' concert in Rio de Janeiro, Brazilgo.com		
Fans think this 2009 Travis Kelce tweet about college football is just so relatable	2009 Travis Kelce was just having a good time.		
Rio de Janeiro Officials Project Taylor Swift Welcome onto Famed 'Christ the Redeemer' Statue	Officials in Rio de Janeiro were so excited about pop star Taylor Swift's imminent concerts in Brazil that they electronically projected a Swifty-themed robe onto its famed Christ the Redeemer statue that overlooks the glittering city.		
Taylor Swift fan dies at Rio concert amid complaints about excessive heat	"Swift posted in her Instagram stories after news of the fan's death writing she has ""a shattered heart."""		
Taylor Swift fan details scorching, 'sauna-like' conditions at Brazil show that left 23-year-old dead	A passionate Taylor Swift fan gave a glimpse of her experience at the chaotic Brazil concert that left a 23-year-old person dead after severe weather conditions.		
Taylor Swift Fan Dies at Rio Concert as Fans Complain About High Temperatures and Lack of Water	RIO DE JANEIRO (AP) — A 23-year-old Taylor Swift fan died at the singer’s Eras Tour concert in Rio de Janeiro Friday night, according to a statement from the show’s organizers in Brazil.		
Taylor Swift Fan Dies Before Eras Concert in Rio, Attendees Complain About Venue Conditions	A 23-year-old fan died at the Eras Tour concert in Rio on Friday night, according to a statement from the show's organizers in Brazil.		
"Taylor Swift postpones Rio show over ""extreme weather"" after fan's death"	Taylor Swift postponed a concert in Rio de Janeiro, Brazil, after a 23-year-old fan died during the Friday night show of Swift's Eras Tour.		
Patrick Mahomes approves of Travis Kelce's relationship with Taylor Swift: 'It's not become a distraction'	Chiefs quarterback Patrick Mahomes gave his stamp of approval of Travis Kelce's relationship with Taylor Swift, saying it's not a distraction to the guys in the locker room.		
How to watch or stream Week 11 of the NFL’s 2023 season football live online free without cable	Here's how to watch Week 11 of the 2023 NFL season and your favorite football teams play online for free—even without a cable subscription.		
Taylor Swift postpones Rio show one day after fan's death, citing 'extreme temperatures'	Apparent temperature — a combination of temperature and humidity — hit 138 degrees Friday morning in Rio, the highest index ever recorded there.		
'Kelce Bowl' Between Chiefs, Eagles Has Some Historic Hype Behind It	The Chiefs (7-2) and Eagles (8-1) are both atop their respective conferences heading into their Super Bowl rematch.		
Taylor Swift Postpones Rio Concert Amid Safety Concerns Following Fan’s Death	Taylor Swift took to social media on Saturday evening to announce that she was postponing her concert, amid concerns over safety.		
NFL Week 11 preview: Chiefs-Eagles headline schedule as eyes turn back to Travis Kelce, Taylor Swift	NFL fans and the pop culture world will likely be tuning in Monday night for the Kansas City Chiefs and Philadelphia Eagles, but don't count out Sunday's slate.		
How Patriots coach Bill Belichick helped Josh Uche ignore the trade deadline noise	"Uche credits ""some open, transparent dialogue with Bill"" for helping him work through hearing his name involved in trade buzz."		
How to watch the Philadelphia Eagles vs. Kansas City Chiefs game on Monday Night Football: Livestream options	A rematch of Super Bowl LVII, the Philadelphia Eagles face the Kansas City Chief and brothers Jason Kelce and Travis Kelce face off.		
How to watch the Minnesota Vikings vs. Denver Broncos NFL game: Livestream options, kickoff time, more	Watch Josh Dobbs and the Minnesota Vikings face the Denver Broncos in Week 11. Here's how to watch the game.		
How to watch today's Tampa Bay Buccaneers vs. San Francisco 49ers NFL game: Livestream options, kickoff time	The San Francisco 49ers hope to keep the winning going as they face the Tampa Bay Buccaneers. Here's how to watch.		
